Airport_Name,Most_Frequent_Reason,Num_Cancelled
"Aberdeen, SD: Aberdeen Regional",Weather,2
"Akron, OH: Akron-Canton Regional",Weather,2
"Albany, GA: Southwest Georgia Regional",Weather,1
"Albany, NY: Albany International",Weather,37
"Albuquerque, NM: Albuquerque International Sunport",Weather,11
"Alexandria, LA: Alexandria International",Weather,1
"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",Weather,1
"Alpena, MI: Alpena County Regional",Weather,2
"Amarillo, TX: Rick Husband Amarillo International",Weather,4
"Anchorage, AK: Ted Stevens Anchorage International",Weather,28
"Appleton, WI: Appleton International",Weather,6
"Arcata/Eureka, CA: California Redwood Coast Humboldt County",Weather,4
"Asheville, NC: Asheville Regional",Weather,2
"Ashland, WV: Tri-State/Milton J. Ferguson Field",Weather,1
"Aspen, CO: Aspen Pitkin County Sardy Field",Weather,92
"Atlanta, GA: Hartsfield-Jackson Atlanta International",Carrier,200
"Atlantic City, NJ: Atlantic City International",Weather,2
"Augusta, GA: Augusta Regional at Bush Field",Weather,3
"Austin, TX: Austin - Bergstrom International",Weather,57
"Bakersfield, CA: Meadows Field",Weather,2
"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Weather,53
"Bangor, ME: Bangor International",Weather,9
"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",Weather,5
"Beaumont/Port Arthur, TX: Jack Brooks Regional",Weather,2
"Bemidji, MN: Bemidji Regional",Weather,1
"Bend/Redmond, OR: Roberts Field",Weather,4
"Bethel, AK: Bethel Airport",Weather,3
"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",Weather,2
"Birmingham, AL: Birmingham-Shuttlesworth International",Weather,11
"Bishop, CA: Bishop Airport",Weather,1
"Bismarck/Mandan, ND: Bismarck Municipal",Weather,6
"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",Weather,3
"Boise, ID: Boise Air Terminal",Weather,6
"Boston, MA: Logan International",Weather,183
"Bozeman, MT: Bozeman Yellowstone International",Weather,9
"Brainerd, MN: Brainerd Lakes Regional",Weather,1
"Bristol/Johnson City/Kingsport, TN: Tri Cities",Weather,2
"Brownsville, TX: Brownsville South Padre Island International",Weather,2
"Buffalo, NY: Buffalo Niagara International",Weather,18
"Burbank, CA: Bob Hope",Weather,25
"Burlington, VT: Burlington International",Weather,24
"Butte, MT: Bert Mooney",Weather,1
"CONCORD, NC: Concord Padgett Regional",Weather,3
"Cedar Rapids/Iowa City, IA: The Eastern Iowa",Weather,4
"Champaign/Urbana, IL: University of Illinois/Willard",Weather,2
"Charleston, SC: Charleston AFB/International",Carrier,8
"Charleston/Dunbar, WV: Yeager",Weather,11
"Charlotte Amalie, VI: Cyril E King",Carrier,2
"Charlotte, NC: Charlotte Douglas International",Weather,88
"Charlottesville, VA: Charlottesville Albemarle",Weather,3
"Chattanooga, TN: Lovell Field",Weather,5
"Chicago, IL: Chicago Midway International",Weather,95
"Chicago, IL: Chicago O'Hare International",Weather,243
"Cincinnati, OH: Cincinnati/Northern Kentucky International",Weather,25
"Clarksburg/Fairmont, WV: North Central West Virginia","National Air System",1
"Cleveland, OH: Cleveland-Hopkins International",Weather,26
"College Station/Bryan, TX: Easterwood Field",Weather,3
"Colorado Springs, CO: City of Colorado Springs Municipal",Weather,5
"Columbia, MO: Columbia Regional",Weather,1
"Columbia, SC: Columbia Metropolitan",Weather,5
"Columbus, OH: John Glenn Columbus International",Weather,16
"Cordova, AK: Merle K Mudhole Smith",Weather,3
"Corpus Christi, TX: Corpus Christi International",Weather,3
"Dallas, TX: Dallas Love Field",Weather,93
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Weather,450
"Dayton, OH: James M Cox/Dayton International",Weather,3
"Daytona Beach, FL: Daytona Beach International",Carrier,2
"Decatur, IL: Decatur Airport",Weather,1
"Denver, CO: Denver International",Weather,121
"Des Moines, IA: Des Moines International",Weather,7
"Detroit, MI: Detroit Metro Wayne County",Weather,189
"Devils Lake, ND: Devils Lake Regional",Weather,3
"Dickinson, ND: Dickinson - Theodore Roosevelt Regional",Weather,5
"Duluth, MN: Duluth International",Weather,1
"Durango, CO: Durango La Plata County",Weather,3
"Eagle, CO: Eagle County Regional",Weather,10
"El Paso, TX: El Paso International",Weather,9
"Elmira/Corning, NY: Elmira/Corning Regional",Weather,1
"Escanaba, MI: Delta County",Weather,2
"Eugene, OR: Mahlon Sweet Field",Carrier,3
"Evansville, IN: Evansville Regional",Weather,1
"Everett, WA: Snohomish County",Carrier,1
"Everett, WA: Snohomish County",Weather,1
"Fairbanks, AK: Fairbanks International",Carrier,1
"Fargo, ND: Hector International",Weather,16
"Fayetteville, AR: Northwest Arkansas Regional",Weather,5
"Fayetteville, NC: Fayetteville Regional/Grannis Field",Carrier,1
"Flagstaff, AZ: Flagstaff Pulliam",Weather,22
"Flint, MI: Bishop International",Weather,2
"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Carrier,47
"Fort Myers, FL: Southwest Florida International",Carrier,32
"Fort Smith, AR: Fort Smith Regional",Weather,4
"Fort Wayne, IN: Fort Wayne International",Weather,4
"Fresno, CA: Fresno Yosemite International",Weather,5
"Garden City, KS: Garden City Regional",Weather,1
"Grand Forks, ND: Grand Forks International",Weather,3
"Grand Island, NE: Central Nebraska Regional",Weather,2
"Grand Junction, CO: Grand Junction Regional",Weather,2
"Grand Rapids, MI: Gerald R. Ford International",Weather,11
"Granite Point, AK: Granite Point Ndb",Weather,6
"Green Bay, WI: Green Bay Austin Straubel International",Weather,4
"Greensboro/High Point, NC: Piedmont Triad International",Carrier,6
"Greensboro/High Point, NC: Piedmont Triad International",Weather,6
"Greer, SC: Greenville-Spartanburg International",Weather,7
"Gulfport/Biloxi, MS: Gulfport-Biloxi International",Weather,2
"Gunnison, CO: Gunnison-Crested Butte Regional",Weather,8
"Hancock/Houghton, MI: Houghton County Memorial",Weather,4
"Harlingen/San Benito, TX: Valley International",Weather,2
"Harrisburg, PA: Harrisburg International",Weather,3
"Hartford, CT: Bradley International",Weather,39
"Hayden, CO: Yampa Valley",Weather,7
"Hays, KS: Hays Regional",Weather,2
"Hilo, HI: Hilo International",Carrier,2
"Honolulu, HI: Daniel K Inouye International",Carrier,42
"Houston, TX: George Bush Intercontinental/Houston",Weather,30
"Houston, TX: William P Hobby",Weather,15
"Huntsville, AL: Huntsville International-Carl T Jones Field",Weather,5
"Idaho Falls, ID: Idaho Falls Regional",Carrier,1
"Indianapolis, IN: Indianapolis International",Weather,22
"Iron Mountain/Kingsfd, MI: Ford",Weather,2
"Islip, NY: Long Island MacArthur",Carrier,6
"Ithaca/Cortland, NY: Ithaca Tompkins Regional",Weather,1
"Jackson, WY: Jackson Hole",Weather,5
"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",Weather,3
"Jacksonville, FL: Jacksonville International",Weather,11
"Jamestown, ND: Jamestown Regional",Weather,3
"Juneau, AK: Juneau International",Weather,8
"Kahului, HI: Kahului Airport",Carrier,27
"Kalamazoo, MI: Kalamazoo/Battle Creek International",Weather,2
"Kalispell, MT: Glacier Park International",Carrier,4
"Kansas City, MO: Kansas City International",Weather,19
"Kansas City, MO: Kansas City International",Carrier,19
"Ketchikan, AK: Ketchikan International",Carrier,1
"Ketchikan, AK: Ketchikan International",Weather,1
"Key West, FL: Key West International","National Air System",1
"Key West, FL: Key West International",Weather,1
"Killeen, TX: Robert Gray AAF",Weather,4
"Knoxville, TN: McGhee Tyson",Weather,4
"Kodiak, AK: Kodiak Airport",Weather,6
"Kona, HI: Ellison Onizuka Kona International at Keahole",Carrier,9
