FlightDate,Flights_Per_Day,Avg_Previous_3_Days
2023-03-01,18057,NULL
2023-03-02,19033,18057.0000
2023-03-03,19149,18545.0000
2023-03-04,16318,18746.3333
2023-03-05,18583,18166.6667
2023-03-06,19143,18016.6667
2023-03-07,17874,18014.6667
2023-03-08,18186,18533.3333
2023-03-09,19487,18401.0000
2023-03-10,19539,18515.6667
2023-03-11,17021,19070.6667
2023-03-12,18911,18682.3333
2023-03-13,19539,18490.3333
2023-03-14,18352,18490.3333
2023-03-15,18662,18934.0000
2023-03-16,19554,18851.0000
2023-03-17,19606,18856.0000
2023-03-18,17125,19274.0000
2023-03-19,18961,18761.6667
2023-03-20,19600,18564.0000
2023-03-21,18429,18562.0000
2023-03-22,18734,18996.6667
2023-03-23,19610,18921.0000
2023-03-24,19625,18924.3333
2023-03-25,17128,19323.0000
2023-03-26,18847,18787.6667
2023-03-27,19479,18533.3333
2023-03-28,18253,18484.6667
2023-03-29,18569,18859.6667
2023-03-30,19460,18767.0000
2023-03-31,19488,18760.6667
